facial_hair,face_color,glasses,filename
0,6,0,cs11498542177707458348.csv
0,3,0,cs10633805793769864702.csv
0,10,0,cs11020863957752127653.csv
0,7,0,cs10136686371301096820.csv
0,2,0,cs10621223049286814821.csv
0,3,0,cs1073203201369075591.csv
0,8,0,cs11301660362944411136.csv
0,5,0,cs11226092973660885222.csv
0,7,0,cs10826538958554612329.csv
0,5,0,cs10197278908374462695.csv
0,6,0,cs10229859342684078069.csv
0,6,0,cs10110716267118343112.csv
0,5,0,cs10685887893157430383.csv
0,3,0,cs11292606368100334883.csv
0,6,0,cs10370381197099993904.csv
0,7,0,cs10401650210423844553.csv
0,3,0,cs10064867048711884467.csv
0,8,0,cs10272603987393211546.csv
0,4,0,cs10457652089072942886.csv
0,1,0,cs10119502798288794201.csv
0,2,0,cs11138291360781717539.csv
0,7,0,cs11123531913599852140.csv
0,4,0,cs10727871930428470583.csv
0,4,0,cs10727395923995064317.csv
0,8,0,cs10430651603908138972.csv
0,4,0,cs10548562138624218415.csv
0,0,0,cs10321800737649479180.csv
0,5,0,cs10060415508852673959.csv
0,10,0,cs10316449945889010769.csv
0,10,0,cs10443675165205937790.csv
0,4,0,cs1034248944457951599.csv
0,8,0,cs11242526111567077236.csv
0,3,0,cs10829180091513066427.csv
0,1,0,cs10870487738789332735.csv
0,5,0,cs1012391045427749504.csv
0,8,0,cs1058360714421529261.csv
0,1,0,cs10660697448386914669.csv
0,5,0,cs10547851249863560335.csv
0,1,0,cs11365689327704398572.csv
0,10,0,cs10511424994724799606.csv
0,10,0,cs11334163946919870832.csv
0,0,0,cs10928153036734666240.csv
0,8,0,cs11499191039966685427.csv
0,4,0,cs11477874618578906588.csv
0,5,0,cs11087718954299222861.csv
0,5,0,cs10640972294822451786.csv
0,2,0,cs10945112026689167121.csv
0,7,0,cs11171207964296302868.csv
0,6,0,cs1040102817969818654.csv
0,2,0,cs11115084954668785184.csv
0,5,0,cs10097409360448363042.csv
0,4,0,cs11282075706041499679.csv
0,5,0,cs11049359055283405668.csv
0,7,0,cs11009471578084467902.csv
0,1,0,cs10893021272211093755.csv
0,9,0,cs10737334397206330385.csv
0,5,0,cs10577930694279325780.csv
0,5,0,cs10749396927890803496.csv
0,6,0,cs10515359770764579780.csv
0,8,0,cs10608065885967339378.csv
0,4,0,cs11393888861160319826.csv
0,9,0,cs1095574665191201774.csv
0,8,0,cs10101706635881017731.csv
0,6,0,cs10188651804540743.csv
0,9,0,cs11236533274576845085.csv
0,2,0,cs10504725580367314862.csv
0,0,0,cs11066338245736661923.csv
0,5,0,cs10996351263904542292.csv
0,1,0,cs11088237921038308142.csv
0,1,0,cs10074528822893979369.csv
0,7,0,cs11213184986500694201.csv
0,4,0,cs11330534827810136834.csv
0,1,0,cs1121755273776604512.csv
0,3,0,cs10894062724829287235.csv
0,6,0,cs10780745614187508962.csv
0,9,0,cs10844166942491218689.csv
